Season,Date,Home Team,Away Team,Score
2022-2023,13:00,Rayo Vallecano,Espanyol,"1            

                2"
2022-2023,15:15,Atletico Madrid,Osasuna,"3            

                0"
2022-2023,17:30,Valencia,Real Madrid,"1            

                0"
2022-2023,20:00,Sevilla,Real Betis,"0            

                0"
2022-2023,13:00,Girona,Villarreal,"1            

                2"
2022-2023,15:15,Athletic Bilbao,Celta Vigo,"2            

                1"
2022-2023,17:30,Almeria,Real Mallorca,"3            

                0"
2022-2023,17:30,Getafe,Elche,"1            

                1"
2022-2023,20:00,Barcelona,Real Sociedad,"1            

                2"
2022-2023,20:00,Cadiz,Real Valladolid,"2            

                0"
2022-2023,20:00,Real Betis,Rayo Vallecano,"3            

                1"
2022-2023,13:00,Celta Vigo,Valencia,"1            

                2"
2022-2023,15:15,Elche,Atletico Madrid,"1            

                0"
2022-2023,17:30,Real Valladolid,Sevilla,"0            

                3"
2022-2023,20:00,Espanyol,Barcelona,"2            

                4"
2022-2023,13:00,Real Sociedad,Girona,"2            

                2"
2022-2023,15:15,Osasuna,Almeria,"3            

                1"
2022-2023,17:30,Villarreal,Athletic Bilbao,"5            

                1"
2022-2023,20:00,Real Madrid,Getafe,"1            

                0"
2022-2023,20:00,Real Mallorca,Cadiz,"1            

                0"
2022-2023,18:30,Girona,Real Mallorca,"2            

                1"
2022-2023,18:30,Sevilla,Espanyol,"3            

                2"
2022-2023,21:00,Athletic Bilbao,Real Betis,"0            

                1"
2022-2023,21:00,Rayo Vallecano,Real Valladolid,"2            

                1"
2022-2023,18:30,Valencia,Villarreal,"1            

                1"
2022-2023,21:00,Atletico Madrid,Cadiz,"5            

                1"
2022-2023,21:00,Getafe,Celta Vigo,"1            

                0"
2022-2023,18:30,Almeria,Elche,"2            

                1"
2022-2023,18:30,Barcelona,Osasuna,"1            

                0"
2022-2023,21:00,Real Sociedad,Real Madrid,"2            

                0"
2022-2023,18:00,Real Mallorca,Athletic Bilbao,"1            

                1"
2022-2023,20:00,Sevilla,Girona,"0            

                2"
2022-2023,13:00,Cadiz,Valencia,"2            

                1"
2022-2023,15:15,Villarreal,Celta Vigo,"3            

                1"
2022-2023,17:30,Espanyol,Getafe,"1            

                0"
2022-2023,20:00,Real Valladolid,Atletico Madrid,"2            

                5"
2022-2023,15:15,Elche,Rayo Vallecano,"4            

                0"
2022-2023,17:30,Real Madrid,Almeria,"4            

                2"
2022-2023,20:00,Barcelona,Real Betis,"4            

                0"
2022-2023,20:00,Osasuna,Real Sociedad,"0            

                2"
2022-2023,18:30,Valencia,Real Valladolid,"2            

                1"
2022-2023,18:30,Villarreal,Espanyol,"4            

                2"
2022-2023,21:00,Athletic Bilbao,Sevilla,"0            

                1"
2022-2023,18:30,Atletico Madrid,Real Mallorca,"3            

                1"
2022-2023,18:30,Getafe,Almeria,"1            

                2"
2022-2023,21:00,Celta Vigo,Elche,"1            

                0"
2022-2023,21:00,Rayo Vallecano,Barcelona,"2            

                1"
2022-2023,18:30,Cadiz,Osasuna,"0            

                1"
2022-2023,18:30,Girona,Real Madrid,"4            

                2"
2022-2023,21:00,Real Betis,Real Sociedad,"0            

                0"
2022-2023,13:00,Elche,Valencia,"0            

                2"
2022-2023,15:15,Barcelona,Atletico Madrid,"1            

                0"
2022-2023,17:30,Real Mallorca,Getafe,"3            

                1"
2022-2023,20:00,Sevilla,Villarreal,"2            

                1"
2022-2023,13:00,Osasuna,Real Betis,"3            

                2"
2022-2023,15:15,Almeria,Athletic Bilbao,"1            

                2"
2022-2023,17:30,Real Sociedad,Rayo Vallecano,"2            

                1"
2022-2023,17:30,Real Valladolid,Girona,"1            

                0"
2022-2023,20:00,Real Madrid,Celta Vigo,"2            

                0"
2022-2023,20:00,Espanyol,Cadiz,"0            

                0"
2022-2023,20:00,Celta Vigo,Real Mallorca,"0            

                1"
2022-2023,13:00,Girona,Elche,"2            

                0"
2022-2023,15:15,Getafe,Barcelona,"0            

                0"
2022-2023,17:30,Atletico Madrid,Almeria,"2            

                1"
2022-2023,20:00,Valencia,Sevilla,"0            

                2"
2022-2023,13:00,Villarreal,Real Valladolid,"1            

                2"
2022-2023,15:15,Athletic Bilbao,Real Sociedad,"2            

                0"
2022-2023,17:30,Real Betis,Espanyol,"3            

                1"
2022-2023,20:00,Cadiz,Real Madrid,"0            

                2"
2022-2023,20:00,Rayo Vallecano,Osasuna,"2            

                1"
2022-2023,20:00,Barcelona,Girona,"0            

                0"
2022-2023,13:00,Real Valladolid,Real Mallorca,"3            

                3"
2022-2023,15:15,Real Betis,Cadiz,"0            

                2"
2022-2023,17:30,Almeria,Valencia,"2            

                1"
2022-2023,20:00,Rayo Vallecano,Atletico Madrid,"1            

                2"
2022-2023,13:00,Osasuna,Elche,"2            

                1"
2022-2023,15:15,Espanyol,Athletic Bilbao,"1            

                2"
2022-2023,17:30,Real Sociedad,Getafe,"2            

                0"
2022-2023,20:00,Real Madrid,Villarreal,"2            

                3"
2022-2023,20:00,Sevilla,Celta Vigo,"2            

                2"
2022-2023,20:00,Valencia,Rayo Vallecano,"1            

                1"
2022-2023,13:00,Celta Vigo,Almeria,"2            

                2"
2022-2023,15:15,Real Madrid,Real Valladolid,"6            

                0"
2022-2023,17:30,Villarreal,Real Sociedad,"2            

                0"
2022-2023,20:00,Atletico Madrid,Real Betis,"1            

                0"
2022-2023,13:00,Girona,Espanyol,"2            

                1"
2022-2023,15:15,Athletic Bilbao,Getafe,"0            

                0"
2022-2023,17:30,Cadiz,Sevilla,"0            

                2"
2022-2023,20:00,Elche,Barcelona,"0            

                4"
2022-2023,20:00,Real Mallorca,Osasuna,"0            

                0"
2022-2023,13:00,Real Betis,Real Mallorca,"1            

                0"
2022-2023,15:15,Osasuna,Villarreal,"0            

                3"
2022-2023,15:15,Real Sociedad,Elche,"2            

                0"
2022-2023,17:30,Getafe,Sevilla,"2            

                0"
2022-2023,20:00,Barcelona,Real Madrid,"2            

                1"
2022-2023,13:00,Almeria,Cadiz,"1            

                1"
2022-2023,15:15,Rayo Vallecano,Girona,"2            

                2"
2022-2023,17:30,Espanyol,Celta Vigo,"1            

                3"
2022-2023,20:00,Atletico Madrid,Valencia,"3            

                0"
2022-2023,20:00,Real Valladolid,Athletic Bilbao,"1            

                3"
2022-2023,20:00,Girona,Atletico Madrid,"0            

                1"
2022-2023,13:00,Real Mallorca,Real Sociedad,"1            

                1"
2022-2023,15:15,Sevilla,Almeria,"2            

                1"
2022-2023,17:30,Villarreal,Real Betis,"1            

                1"
2022-2023,20:00,Athletic Bilbao,Barcelona,"0            

                1"
2022-2023,13:00,Real Madrid,Espanyol,"3            

                1"
2022-2023,15:15,Elche,Real Valladolid,"1            

                1"
2022-2023,17:30,Celta Vigo,Rayo Vallecano,"3            

                0"
2022-2023,20:00,Valencia,Osasuna,"1            

                0"
2022-2023,20:00,Cadiz,Getafe,"2            

                2"
2022-2023,20:00,Osasuna,Celta Vigo,"0            

                0"
2022-2023,13:00,Real Valladolid,Espanyol,"2            

                1"
2022-2023,15:15,Barcelona,Valencia,"1            

                0"
2022-2023,17:30,Rayo Vallecano,Athletic Bilbao,"0            

                0"
2022-2023,20:00,Real Betis,Real Madrid,"0            

                0"
2022-2023,13:00,Getafe,Girona,"3            

                2"
2022-2023,15:15,Almeria,Villarreal,"0            

                2"
2022-2023,17:30,Real Mallorca,Elche,"0            

                1"
2022-2023,20:00,Atletico Madrid,Sevilla,"6            

                1"
2022-2023,20:00,Real Sociedad,Cadiz,"0            

                0"
2022-2023,20:00,Villarreal,Getafe,"2            

                1"
2022-2023,13:00,Athletic Bilbao,Girona,"2            

                3"
2022-2023,15:15,Celta Vigo,Real Valladolid,"3            

                0"
2022-2023,17:30,Almeria,Barcelona,"1            

                0"
2022-2023,20:00,Sevilla,Osasuna,"2            

                3"
2022-2023,13:00,Espanyol,Real Mallorca,"2            

                1"
2022-2023,15:15,Cadiz,Rayo Vallecano,"1            

                0"
2022-2023,17:30,Real Madrid,Atletico Madrid,"1            

                1"
2022-2023,20:00,Valencia,Real Sociedad,"1            

                0"
2022-2023,20:00,Elche,Real Betis,"2            

                3"
2022-2023,20:00,Getafe,Valencia,"1            

                0"
2022-2023,13:00,Elche,Espanyol,"0            

                1"
2022-2023,15:15,Rayo Vallecano,Sevilla,"1            

                1"
2022-2023,17:30,Atletico Madrid,Athletic Bilbao,"1            

                0"
2022-2023,20:00,Barcelona,Cadiz,"2            

                0"
2022-2023,13:00,Real Sociedad,Celta Vigo,"1            

                1"
2022-2023,15:15,Real Betis,Real Valladolid,"2            

                1"
2022-2023,20:00,Osasuna,Real Madrid,"0            

                2"
2022-2023,20:00,Girona,Almeria,"6            

                2"
2022-2023,20:00,Real Madrid,Elche,"4            

                0"
2022-2023,20:00,Espanyol,Real Sociedad,"2            

                3"
2022-2023,13:00,Getafe,Rayo Vallecano,"1            

                1"
2022-2023,15:15,Celta Vigo,Atletico Madrid,"0            

                1"
2022-2023,17:30,Real Valladolid,Osasuna,"0            

                0"
2022-2023,20:00,Villarreal,Barcelona,"0            

                1"
2022-2023,15:15,Almeria,Real Betis,"2            

                3"
2022-2023,17:30,Sevilla,Real Mallorca,"2            

                0"
2022-2023,20:00,Valencia,Athletic Bilbao,"1            

                2"
2022-2023,20:00,Cadiz,Girona,"2            

                0"
2022-2023,20:00,Rayo Vallecano,Almeria,"2            

                0"
2022-2023,13:00,Real Mallorca,Real Madrid,"1            

                0"
2022-2023,15:15,Girona,Valencia,"1            

                0"
2022-2023,17:30,Real Sociedad,Real Valladolid,"0            

                1"
2022-2023,20:00,Barcelona,Sevilla,"3            

                0"
2022-2023,13:00,Espanyol,Osasuna,"1            

                1"
2022-2023,15:15,Elche,Villarreal,"3            

                1"
2022-2023,17:30,Atletico Madrid,Getafe,"1            

                1"
2022-2023,20:00,Real Betis,Celta Vigo,"3            

                4"
2022-2023,20:00,Athletic Bilbao,Cadiz,"4            

                1"
2022-2023,20:00,Real Madrid,Valencia,"2            

                0"
2022-2023,20:00,Real Betis,Barcelona,"1            

                2"
2022-2023,20:00,Villarreal,Rayo Vallecano,"0            

                1"
2022-2023,13:00,Real Valladolid,Valencia,"1            

                0"
2022-2023,15:15,Osasuna,Atletico Madrid,"0            

                1"
2022-2023,17:30,Celta Vigo,Athletic Bilbao,"1            

                0"
2022-2023,20:00,Real Madrid,Real Sociedad,"0            

                0"
2022-2023,13:00,Cadiz,Real Mallorca,"2            

                0"
2022-2023,15:15,Girona,Barcelona,"0            

                1"
2022-2023,17:30,Sevilla,Elche,"3            

                0"
2022-2023,20:00,Getafe,Real Betis,"0            

                1"
2023-2024,13:00,Getafe,Real Mallorca,"1            

                2"
2023-2024,15:15,Celta Vigo,Valencia,"2            

                2"
2023-2024,15:15,Las Palmas,Alaves,"1            

                1"
